sender,receiver,edge_type
KRScienceLady,philiplbell,reply
rvccngss,DormannKate,reply
DormannKate,rvccngss,reply
nelsonaw78,oilerslive,reply
VogelWendi,tjscience,reply
Sfm36,Filibuster3,reply
SchmidtChemist,33heupel,reply
Kazzikstan,rams830,reply
philiplbell,philiplbell,reply
philiplbell,philiplbell,reply
philiplbell,philiplbell,reply
t_mack14,TheHoopCentral,reply
Laurelhall58,pineynz,reply
phaneritic,drloriandersen,reply
Mat_Amoros,nytimes,reply
sciresSoehl,TdiShelton,reply
MrsSextonsClass,JessicaFGWrites,reply
MelissainHKong,iOSierra,reply
TrophyPop_,SimmingInThe6,reply
WilliamFranzell,gomehead2000,reply
eujotta5,luana22pqp,reply
miss_schilling_,miss_schilling_,reply
miss_schilling_,sbottasullivan,reply
sbottasullivan,LilyAdvocates,reply
ShmoovyShmoov,physicsJ,reply
SHSciLabTeacher,sbottasullivan,reply
SamanthaStickl3,sbottasullivan,reply
misagoan,7rpin,reply
Nowlan_ASDN,Nowlan_ASDN,reply
ejkaretny,ejkaretny,reply
cjcochrane21,DLELnetwork,reply
DrDSteele_PhD,DrDSteele_PhD,reply
phaneritic,phaneritic,reply
Xeno_lith,Xeno_lith,reply
kiku_moto_silk,sin_stuotami,reply
GeffenAvraham,GeffenAvraham,reply
GeffenAvraham,GeffenAvraham,reply
GeffenAvraham,GeffenAvraham,reply
GeffenAvraham,GeffenAvraham,reply
GeffenAvraham,RealPatrickDaly,reply
karenscranton2,JessicaFGWrites,reply
JessicaFGWrites,karenscranton2,reply
PeggyAshbrook,PeggyAshbrook,reply
PeggyAshbrook,ErinKMcGurk,reply
Mukesh20733064,ngss_official,reply
the_fish_nerd,NGSS_tweeps,reply
mihaL_minmin,Kawasa_Kitchen,reply
Xeno_lith,JessicaFGWrites,reply
LGates_science,eacole09,reply
docwill121,skier017,reply
N8XRV,N8XRV,reply
AshcraftLizette,NGSS_tweeps,reply
col628,fsmcannibal77,reply
col628,Ogre17,reply
Jussaayin,Dunreithdeadhe1,reply
nextgenscience,nextgenscience,reply
nextgenscience,nextgenscience,reply
ClassKicker,MisterSci,reply
ashley_green2,wiscileaders,reply
ashley_green2,johannabrown,reply
TdiShelton,johannabrown,reply
TdiShelton,revel56,reply
karalu79,johannabrown,reply
johannabrown,JenniferFine5,reply
tonyea_mead,TdiShelton,reply
TdiShelton,sciresSoehl,reply
TdiShelton,karalu79,reply
TdiShelton,kastidham,reply
TdiShelton,wiscileaders,reply
TdiShelton,revel56,reply
TdiShelton,philiplbell,reply
TdiShelton,johannabrown,reply
MsNikiaMoy,MsRozema,reply
KlutheScience,KlutheScience,reply
becaareeis,ciroalencar_,reply
Doc_AOC,TdiShelton,reply
ksscienceguy,KRenaeP,reply
ksscienceguy,KRenaeP,reply
karriolaa,valriquelme,reply
tahoecramer1,kmgill135,reply
tahoecramer1,MsLorisStory,reply
MsLorisStory,NGSS_tweeps,reply
jayalecwow,deslpz,reply
velveeettt,sbyfess,reply
drloriandersen,NGSS_tweeps,reply
PettwayAJ,NGSS_tweeps,reply
Maik_ze_laiar,5channel,reply
poecoupsy,1minute7seconds,reply
_hipas,Dani_boylol,reply
richbacolor,RyTriGuy,reply
MonkyChi83,JoshBradley117,reply
bradleymkremer,jaymctighe,reply
PaidinAppls,MrLindsey_NGSS,reply
MicrosoftTeams,MrLindsey_NGSS,reply
rvccngss,nextgenscience,reply
Xeno_lith,hormiga,reply
MicrosoftFlip,thinksci,reply
SColemanDE,tonyea_mead,reply
wandabryant,haverlycm,reply
philiplbell,philiplbell,reply
mugunthvj007,ngss_official,reply
